,"DET","UNIDAD ",,,,"CIUDAD","ESTADO ",,"LADA","CONMUTADOR","DIRECTO","EXT.",,,,"S"
2,2023,"MACRO PLAZA INSURGENTES",,,,"TIJUANA","BAJA CALIFORNIA",,"01 (664)","625   0067 / 0069 / 0130/ 0146/ 0160 / 0165 / 0172 / 0174 / 0178 / 0230",,"FAX 01(664) 625 0253",,,,
2,2042,"NOGALES ""EL GRECO""",,,,"NOGALES","SONORA",,"01 (631)","3147 940/ 314 6522/ 3147 125/ 3148 018/ 3149 013",,"3193 056",,,,
2,2304,"MEXICALI",,,,"MEXICALI","BAJA CALIFORNIA",,"01 (686)","561 3611  /  561 8501  / 561 9638",,"Ext. 103",,,,
2,2947,"ENSENADA CENTRO",,,,"ENSENADA","BAJA CALIFORNIA",,"01 (646)","646 176 50 62 ",,,,,,
2,3015,"ENSENADA",,,,"ENSENADA","BAJA CALIFORNIA",,"01 (646)","173 3079/ 3076/ 3080/ 3092 / 3064/ 3068/ 3072/ 3069/ 3065/ 3059","646 173 3098","Fax. Ext. 105",,,,
2,3664,"DIAZ ORDAZ",,,,"TIJUANA","BAJA CALIFORNIA",,"01 (664)","9027085/ 9027464",,"102 Y 103",,,,
2,4011,"TIJUANA HIPODROMO",,,,"TIJUANA","BAJA CALIFORNIA",,"01(664)","6816150 / 6815682 / 6815400 / 6814718 / 6814668 / 6814493",,"102 Y 103",,,,
2,4026,"GALERÍAS DEL VALLE",,,,"MEXICALI","BAJA CALIFORNIA",,"01 (686)","568 05 79 / 568 03 36 / 568 05 46 / 568 02 64 / 568 04 97 / 555 96 37 / 555 96 71 / 568 00 62 / 568 02 59 / 555 85 97  ",,,,,,
2,4155,"TIJUANA 2000",,,,"TIJUANA","BAJA CALIFORNIA",,"01 (664)","2118659-60 / 2118638/2118570/211633/2118555",,,,,,
2,4187,"PLAYAS DE ROSARITO",,,,"ROSARITO","BAJA CALIFORNIA",,"01 (661)","613 92 44 al 54",,,,,,
2,1489,"HIPERPLAZA TEXCOCO",,,,"TEXCOCO","EDO. DE MEX.",,"01 (595)","9251524 / 1611/ 1686/ 1749/ 1757/ 1762/ 1768/ 1817/ 1932/ 1972",,,,,,
2,1724,"LOS REYES",,,,"ZUMPANGO ","EDO. DE MEX.",,"01 (591)","9185 485 / 5193 / 5222 / 5234 / 5296 / 5374","Ext. 103, 105 y 102",,,,,
2,2219,"JOROBAS",,,,"HUEHUETOCA","EDO. DE MEX.",,"01 (593)","911 11 61 / 1163 / 1174 / 22 92 / 0258",,,,,,
2,3061,"COMBO PACHUCA",,,,"PACHUCA","HIDALGO",,"01 (77)","1719 7558 / 6551/ 6648 / 6750 / 6931/ 6944",,"Ext. 105",,,,
2,3356,"LAZARO CARDENAS",,,,"LAZARO CARDENAS ","MICHOACAN",,"01 (753)","01(753)54-142-83",,"Ext. 105, 103 y 102",,,,
2,3503,"ECATEPEC CENTRO",,,,"ECATEPEC DE MORELOS","EDO. DE MEX.",,"01 (55)","15-50-50-24/15-50-41-16",,,,,,
2,3900,"COACALCO",,,,"COACALCO","EDO. DE MEX.",,"01 (55)","5898 5268 / 0637 / 0468 / 0463",,,,,,
2,4018,"SANTA MARÍA COACALCO",,,,"COACALCO","EDO. DE MEX.",,"01 (55)","2644 1834 / 2644 1871,73 / 1039 8231 / 1039 8632 ",,"EXT. 102",,,,
2,4109,"PUERTA TEXCOCO",,,,"TEXCOCO","EDO. DE MEX.",,"01 (595)","921 1944/ 0647 / 0668 / 0933 / 1275 / 1500 / 1506 / 1567 / 1573 / 1587",,,,,,
2,1107,"IXTAPALUCA ",,,,"IXTAPALUCA","EDO. DE MEX.",,"01 (55)","59 72 74 43 / 26 06 6410 / 6434 / 6809",,"26 06 95 51",,,,
2,1171,"SAN JOSÉ TECAMAC",,,,"TECAMAC","EDO. DE MEX.",,"01 (55)","5936 0265 / 4429  /  1383 9725 AL 27",,"EXT 105",,,,
2,1202,"HORIZONTE",,,,"VALLE DE CHALCO","EDO. DE MEX.",,"01(55)","16433246/1677/1683/2067/3430/3449",,"Ext.102",,,,
2,1683,"VICENTE GUERRERO",,,,"CHALCO","EDO. DE MEX.",,"01 (55)","5982-8595 / 8598 / 8603 / 8607 / 8668",,"Ext 105",,,,
2,2840,"INSURGENTES CHETUMAL",,,,"CHETUMAL","QUINTANA ROO",,"01 (983)","11 85 175 / 76",,,,,,
2,3016,"MACRO PLAZA HEROES TECAMAC",,,,"TECAMAC","EDO. DE MEX.",,"01 (55)","1738 6520 / 4518 / 4532 / 4563 / 4804",,"Ext. 105",,,,
2,4546,"ZACATECAS",,,,"ZACATECAS","ZACATECAS",,"01 (492)","925 1054/ 925 1056",,"Ext. 102 y 103",,,,
2,5765,"LAS AMERICAS ",,,,"ECATEPEC DE MORELOS","EDO. DE MEX.",,"01 (55)","2486 4046 AL 52 ","24 86 40 56","Ext. 105",,,,
2,1054,"COLIMA NORTE",,,,"COLIMA","COLIMA",,"01 (312)","323 5319 AL 22/ 323 5324 AL 26 ",,"Ext 105",,,,
2,2345,"TEPEYAC",,,,"MEXICO","D.F.",,"01 (55)","5517 0398 / 0336 / 0257/ 3067","EXT.102",,,,,
2,3506,"SIMBOLOS PATRIOS",,,,"OAXACA","OAXACA",,"01 (951)","1449101 / 1449104 / 1449105 / 1449106",,"Ext. 105 / 103",,,,
2,3846,"BUENAVISTA",,,,"MEXICO","D.F.",,"01 (55)","5566 3711 / 3037","5546 0747","5566 7440",,,,
2,3877,"TORRES  LINDAVISTA",,,,"MEXICO ","D.F.",,"01 (55)","5752 7060 / 5752 7255 / 5752 7489",,"Ext 103",,,,
2,3879,"COLIMA NIÑOS HÉROES",,,,"COLIMA","COLIMA",,"01 (312)","31 3 11 77/ 31 3 11 55","313 1150","Ext. 102 y 103",,,,
2,4062,"MANZANILLO",,,,"MANZANILLO","COLIMA",,"01 (314)","333 3844/ 334 3550/ 334 3551/ 334 3584/ 334 3603/ 334 3614/ 334 3618/ 334 3623/ 334 3683/ 334 3703                                                    ",,,,,,
2,4547,"EDUARDO MOLINA",,,,"MEXICO","D.F.",,"01 (55)","5750 5328 AL 35",,"EXT . 105",,,,
2,1015,"IRAPUATO",,,,"IRAPUATO","GUANAJUATO",,"01 (462)","635 2067  AL 74","01(462) 635 20 78","635 2075 FAX EXT 105",,,,
2,1195,"GALERIAS LAS TORRES",,,,"LEON ","GUANAJUATO",,"01 (477)","77653 00/05/64     776 55 20 /    776 62 05  / 776 66 91","776 72 59  /776 73 96","776 78 22",,,,
2,2091,"EL SAUZ",,,,"CELAYA","GUANAJUATO",,"01 (461)","1577206 / 6176168/ 230/ 276/ 296/ 461","467/ 594","Ext. 102 - 106",,,,
2,2356,"QUERETARO ",,,,"QUERETARO","QUERETARO",,"01 (442)","210 1860 / 68","2 10 18 71","171, 173, 188 Y 126",,,,
2,2433,"TORRES LANDA",,,,"LEON ","GUANAJUATO",,"01 (477)","761 82 74 AL 83",,"761 8284",,,,
2,2541,"SALAMANCA",,,,"SALAMANCA","GUANAJUATO",,"01(464)","6413129/6412595/6412614/6412778/6412874/6412897",,"Ext. 102-103 y 105",,,,
2,2733,"PONIENTE",,,,"QUERETARO","QUERETARO",,"01 (442) ","199 2850 /51/52/53/54/55 y 56","199 2857",,,,,
2,2946,"PUEBLITO",,,,"CORREGIDORA ","QUERETARO",,"01 (442)","225 3770/ 1770/ 9176/4304/4492/5705/5863",,,,,,
2,3031,"IRRIGACION",,,,"CELAYA","GUANAJUATO",,"01 (461)","608 7737/ 608 7292/ 608 6514/ 608 6683/ 608 6799",,"Ext. 102,103",,,,
2,3357,"IRAPUATO SUR",,,,"IRAPUATO","GUANAJUATO",,"01 (462)","6221492 / 6221171 / 6221921 / 6222739",,"Ext. 105",,,,
2,3586,"JURIQUILLA",,,,"QUERETARO","QUERETARO",,"01(442)","199 8312/8314/8315/8316/8317","199 8309",,,,,
2,3745,"CLOUTHIER",,,,"LEON ","GUANAJUATO",,"01 (477)","781 19 26 AL 35",,"Ext. 105",,,,
2,5687,"BLVD. DELTA",,,,"LEON ","GUANAJUATO",,"01 (477)","194 58 64 / 194 59 02",,,,,,
2,5749,"PLAZA DE TOROS, QRO. ",,,,"QUERETARO","QUERETARO",,"01 (442)","242  3773/ 215 0892/ 215 5219/ 21 5490/ 215 6484/ 215 6694/ 215 6856",,"Ext. 102, 103 y 106",,,,
2,1031,"TABASCO 2000",,,,"VILLAHERMOSA","TABASCO",,"01 (993)","354 5911  / 5981 / 6029 / 6199","354 1352 / 5952 /5033","354 6239",,,,
2,2218,"TUXPAN",,,,"TUXPAN","VERACRUZ",,"01 (783)","8344543 / 8345835 / 8349204 / 8351046 / 8356110 / 8356123",,,,,,
2,2463,"VERACRUZ",,,,"VERACRUZ","VERACRUZ",,"01 (229)","989 0202",,"Ext. 198",,,,
2,2468,"CD. DEPORTIVA",,,,"VILLAHERMOSA","TABASCO",,"01 (993)","352 32 09 AL 17","3 52 32 18","352 3218",,,,
2,2839,"XALAPA SUR",,,,"XALAPA","VERACRUZ",,"01 (228)","1 68 11 23 AL 28",,"Ext. 102",,,,
2,3293,"BLVD. RUIZ CORTINEZ",,,,"VILLAHERMOSA","TABASCO",,"01 (993)","316-7786  316-3918  316-4591  316-4768  316-5670  316-5990",,,,,,
2,3893,"JALAPA",,,,"JALAPA","VERACRUZ",,"01 (228)","814 0004","8 14 39 22","Ext. 105",,,,
2,3894,"VILLAHERMOSA I",,,,"VILLAHERMOSA","TABASCO",,"01 (993)","312 3314 / 312 3303",,"312 7890",,,,
2,3909,"CÓRDOBA",,,,"FORTíN","VERACRUZ",,"01 (271)","716 1541 / 716 2129 / 716 2719 / 716 3743 / 716 4141","716 4770 / 716 4879 / 716 5649 / 716 5690","Ext. 105",,,,
2,4120,"POZA RICA",,,,"POZA RICA","VERACRUZ",,"01 (782)","111 5443 / 111 5462 AL 70",,"111 5471",,,,
2,4122,"PLAYA NORTE",,,,"VERACRUZ","VERACRUZ",,"01 (229)","9240377 / 9240290 /9240289 / 9240328 / 9240397 / 9240400 / 9240449 / 9240456 / 9240457 / 9240460",,,,,,
2,1003,"PLAYA DEL CARMEN",,,,"PLAYA DEL CARMEN","QUINTANA ROO",,"01 (984)","803 0911 / 0089 / 0316 / 0335 / 0363","8 03 00 80","8 033035",,,,
2,1016,"MERIDA NORTE",,,,"MERIDA","YUCATAN",,"01(999)","941 5863/ 5864/ 5865/ 5866/ 5867/ 5868/ 5869/ 5869/ 5870","Ext. 103, 105 y 102",,,,,
2,1084,"NICHUPTE",,,,"CANCUN","QUINTANA ROO",,"01 (998)","802 3064 AL 72",,"802 3073",,,,
2,1685,"AEROPUERTO CAMPECHE ",,,,"CD DEL CARMEN","CAMPECHE",,"01 (938)","11 11 299 AL 304",,,,,,
2,2383,"MÉRIDA",,,,"MERIDA","YUCATAN",,"01 (999)","9 26 19 78",,"9 26 01 06",,,,
2,2384,"CANCUN I",,,,"CANCUN","QUINTANA ROO",,"01 (998)","884 0737/ 8840755/ 8843448/ 8841474/ 8841264",,"Ext. 105",,,,
2,2735,"LA CRUZ (PLAYA DEL CARMEN)",,,,"PLAYA DEL CARMEN","QUINTANA ROO",,"01 (984)","10 94 848 / 849 / 851 / 852 / 853 / 856",,,,,,
2,3555,"PERIFERICO MERIDA",,,,"MERIDA","YUCATAN",,"01 (999)","9459918 / 15",,103,,,,
2,3632,"CANCUN II",,,,"CANCUN","QUINTANA ROO",,"01 (998)","843-71-43 AL 46",,"843 7146",,,,
2,4048,"MÉRIDA PENSIONES",,,,"MERIDA","YUCATAN",,"01 (999)","987  9874 / 83","Ext. 103, 105 y 102","987 9884",,,,
2,4073,"POLIGONO",,,,"MERIDA","YUCATAN",,"01 (999)","196 1556/ 1557/ 1558/ 1559/ 1560/  1561/  1562/  1563/  1564/ 1565",,,,,,
2,4139,"CAMPECHE",,,,"CAMPECHE","CAMPECHE",,"01 (981)","81 11297 / 81  60987 / 81 10256 / 81 10325","81 124 72","Ext.102 / 105",,,,
2,1204,"MOCHIS SUR",,,,"LOS MOCHIS","SINALOA",,"01 (668)","8 12 23 61/ 8 17 48 95/ 8 17 48 96/ 8 18 11 49/ 8 18 16 50",,"Ext. 102, 103, 105 y 106",,,,
2,1585,"LA ISLA",,,,"CULIACAN","SINALOA",,"01 (667)","146  4597/ 4599 / 4601 / 4601 /4602 /4603 /4604",,"Ext. 102 y 103",,,,
2,1727,"GUASAVE",,,,"GUASAVE","SINALOA",,"01 (687)","871 2996 / 0558 / 0684  / 0981",,"103,102, 105 y 106",,,,
2,2303,"HERMOSILLO",,,,"HERMOSILLO ","SONORA",,"01 (662)","259 0305",,"Ext. 102 y 103",,,,
2,2379,"CULIACAN",,,,"CULIACAN","SINALOA",,"01 (667)","759 0250","7 50 81 60","EXT 7126 Y 7129 FAX 174",,,,
2,2380,"CD. OBREGON",,,,"OBREGON","SONORA",,"01 (644)","414-6573 / 6996 / 6991  / 6461",,"Ext. 105",,,,
2,2646,"CARRETERA INTERNACIONAL",,,,"OBREGON","SONORA",,"01 (644)","41 29 236/ 4161185 / 4170939 /4171223/4171223",,,,,,
2,3030,"BLVD. MORELOS",,,,"HERMOSILLO ","SONORA",,"01(662)","267 8318 / 8319/ 8320/ 8321/ 8322/ 8323",,,,,,
2,3718,"EJERCITO MEXICANO",,,,"MAZATLAN ","SINALOA",,"01 (669)","940 6297","9 40 63 07","940 6307",,,,
2,3746,"SOLIDARIDAD",,,,"HERMOSILLO ","SONORA",,"01 (662)","260  9536",,"Ext. 103",,,,
2,4036,"GUAYMAS",,,,"GUAYMAS","SONORA",,"01 (622)","221 1399 / 1440 / 156 / 1736 / 1782 / 2048",,,,,,
2,4549,"LOS MOCHIS",,,,"LOS MOCHIS","SINALOA",,"01 (668)","812 1136 / 2091/ 2455/3107/ 2996",,"Ext. 102,103,105 y 106",,,,
2,5700,"MEXICO 68",,,,"CULIACAN","SINALOA",,"01 (667)","715 2338 /1871/ 2445/ 2471","715 2471",,,,,
2,1067,"ACAPULCO DIAMANTE",,,,"ACAPULCO","GUERRERO",,"01 (744)","443 46 17 AL 26",,"443 46 27",,,,
2,1460,"CUEMANCO",,,,"MEXICO ","DF",,"01 (55)","56033699/56034130/56717906/56717969/56718202",56716690,"Ext 102 y 103",,,,
2,1684,"CHILPANCINGO",,,,"CHILPANCINGO","GUERRERO",,"01 (747)","4949-893 /  221 / 237 / 238 / 264 ",,,,,,
2,2347,"TLAHUAC",,,,"MEXICO ","D.F.",,"01 (55)","5850 1910",,"Ext. 172",,,,
2,2349,"ACAPULCO",,,,"ACAPULCO","GUERRERO",,"01 (744)","469 0203",,"Ext. 102 y 103",,,,
2,2432,"DURANGO",,,,"DURANGO","DURANGO",,"01( 618)","817 8845",,"Ext. 102 y 103",,,,
2,2464,"MIRAMONTES ",,,,"MEXICO ","D.F.",,"01 (55)","5447 1400",,"Ext. 7114",,,,
2,3014,"DURANGO II ""EL EDEN""",,,,"DURANGO","DURANGO",,"01 (618)","836 6549 / 6596 / 6651 / 6653",,"Ext. 102 y 103",,,,
2,3071,"FRANCISCO VILLA",,,,"DURANGO","DURANGO",,"01(618)","814 2763 / 4538 / 1089 / 1750 ",,"Ext. 105",,,,
2,3857,"VILLA COAPA",,,,"MEXICO ","D.F.",,"01 (55)","5671 6515 / 5671 6114 / 5671 1361",,"Ext. 103-104-106",,,,
2,1549,"AV. DE  LOS MAESTROS",,,,"AGUASCALIENTES","AGUASCALIENTES",,"01 (449)","250-0556/57/58/59/61/62",,,,,,
2,2033,"PLAZA ORIENTE",,,,"MEXICO ","D.F.",,"01 (55)","5600 6321 / 6501 / 4667",,"Ext. 105",,,,
2,2074,"CARRETERA 57",,,,"S.L.P","S.L.P",,"01 (444)","567 5148 AL 58",,,,,,
2,2075,"MUÑOZ",,,,"S.L.P","S.L.P",,"01 (444)","833 7046/ 833 7073/ 833 7138/ 833 7228 / 833 7651",,,,,,
2,2079,"CD. JARDIN",,,,"NEZAHUALCOYOTL","EDO. DE MEX.",,"01 (55)","5735  4801 / 4845 /4762 /4768 /4779",,"Ext. 105",,,,
2,2080,"MATEHUALA (ARBOLEDAS)",,,,"MATEHUALA","S.L.P",,"01 (488)","882 5486/ 882 5377/ 882 4445",,,,,,
2,2346,"AGUASCALIENTES",,,,"AGUASCALIENTES","AGUASCALIENTES",,"01 (449)","910 70 01 ","EXT. 170 Y 172","EXT. 175",,,,
2,2431,"SAN LUIS POTOSI",,,,"S.L.P","S.L.P",,"01 (444)","826 0062 ",,"EXT  171 - 173 FAX 174",,,,
2,2670,"TLALPAN",,,,"MEXICO ","D.F.",,"01 (55)","5674 1755",,"Ext. 103",,,,
2,3005,"PLAZA ARAGON",,,,"MEXICO ","EDO. DE MEX.",,"01 (55)","2459 0955 / 1418 / 1898","2459 19 01","Ext. 105",,,,
2,3851,"AEROPUERTO",,,,"MEXICO ","D.F.",,"01 (55)","5571 8177","55 71 14 92","Ext. 105",,,,
2,3872,"BALBUENA",,,,"MEXICO ","D.F.",,"01 (55)","5768 6030 / 9799 / 9294 / 9146",,"5768 9316",,,,
2,1130,"BELISARIO DOMINGUEZ",,,,"TUXTLA GUTIERREZ","CHIAPAS",,"01 (961)","121 55 33 al 41",,,,,,
2,1580,"EL ROSARIO",,,,"MEXICO","D.F.",,"01 (55)","9127-0251 / 9127-0266 / 9127-0582 / 9127-0762",,,,,,
2,1624,"COMITAN DE DOMINGUEZ",,,,"COMITAN","CHIAPAS",,"01 (963)","6329456  al 61",,,,,,
2,2466,"CUITLAHUAC",,,,"MEXICO","D.F.",,"01 (55)","5729 9916",,"Ext. 102 y 103",,,,
2,3127,"LIBRAMIENTO NORTE",,,,"TUXTLA GUTIERREZ","CHIAPAS",,"01 (961)","61 4 36 02 /  60 4 20 58 /  60 4 32 58",,,,,,
2,3847,"SATELITE",,,,"NAULCALPAN DE JUAREZ","EDO. DE MEX.",,"01 (55)","5562 1500 / 5572 2896",,"Ext. 105",,,,
2,3850,"ECHEGARAY",,,,"NAULCALPAN DE JUAREZ","EDO. DE MEX.",,"01 (55)","5360 0264 / 1389/  0639/  0514/  0889/  8043",53633779,"EXT. 103 / 104",,,,
2,3862,"AZCAPOTZALCO",,,,"MEXICO","D.F.",,"01 (55)","5353 0156 /  0093 / 1416",,"EXT . 102,103 y 105",,,,
2,4072,"TAPACHULA",,,,"TAPACHULA","CHIAPAS",,"01 (962)","628 4064 AL 69",,,,,,
2,1044,"SAN MARCOS",,,,"CUAUTITLAN IZCALI","EDO. DE MEX.",,"01 (55)","2472 00 75/ 2472 00 76 / 2472 00 78 / 2472 00 80 ",,"2472 0301",,,,
2,1169,"MULTIPLAZA ARBOLEDAS",,,,"TLANEPANTLA DE BAZ","EDO. DE MEX.",,"01 (55)","5565 1295/ 1665 9275 al 81/ 5565 4846",,,,,,
2,1423,"SANTA ELENA",,,,"CUAUTITLAN ","EDO. DE MEX.",,"01 (55)","22922166 AL 71",,,,,,
2,1834,"PLAZA DEL LAGO",,,,"CUAUTITLAN","EDO. DE MEX.",,"01 (55)","58-68-96-29, 9632, 9801, 9931,9959, 9997",,,,,,
2,2041,"TOLTECAS",,,,"TLANEPANTLA DE BAZ","EDO. DE MEX.",,"01 (55)","5390 48 57 / 4876 / 4880 / 4918 / 4959 / 4993 ",,"5390 5173",,,,
2,2643,"NICOLAS ROMERO",,,,"NICOLAS ROMERO","EDO. DE MEX.",,"01 (55)"," 2210-9483  /9430",,,,,,
2,3794,"ACUEDUCTO DE GUADALUPE",,,,"MEXICO","D.F.",,"01 (55)","53 88 01 51/ 53 67 58 05/ 53 88 73 86 / 5369 21 12 / 5369 47 21","53 69 21 12","5369 4721",,,,
2,3854,"PIRULES",,,,"TLANEPANTLA DE BAZ","EDO. DE MEX.",,"01 (55)","5370 4555/5379 1286 /  5370 4594 / 4300 ","53 70 99 48","Ext 103",,,,
2,4154,"PERINORTE (ANTES SILOS)",,,,"CUAUTITLAN IZCALLI ","EDO. DE MEX.",,"01 (55)","5886 07 06/ 08 32/ 09 00/ 09 05/ 12 56 ",,,,,,
2,4157,"PERIFÉRICO CUAUTITLAN",,,,"CUAUTITLAN IZCALLI","EDO. DE MEX.",,"01 (55)","2239 51 12 AL 20",,,,,,
2,4191,"LAGO DE GUADALUPE ",,,,"TLALNEPANTLA DE BAZ","EDO. DE MEX.",,"01 (55)","53054069 / 4091 / 4106 / 4128 / 4142 / 4200 ",,,,,,
2,5855,"LAS ALAMEDAS",,,,"ATIZAPAN","EDO. DE MEX.",,"01 (55)","5077 6079 / 6085",,,,,,
2,1032,"LOMAS VERDES",,,,"NAULCALPAN DE JUAREZ","EDO. DE MEX.",,"01 (55)","5349 3489 al 98",,,,,,
2,1462,"LERMA TOLUCA",,,,"TOLUCA","EDO. MEX",,"01 (728)","284 5315, 16, 17, 18, 19, 21",,,,,,
2,1584,"ESPACIO ESMERALDA",,,,"ATIZAPAN","EDO. DE MEX.",,"01 (55)","5308-3097 /  5308-3101 /  5308-3155 / 5308-3216 / 5308-3393",,,,,,
2,2344,"LOMAS",,,,"MEXICO ","D.F",,"01 (55)","5557 11 33",,"Ext. 105",,,,
2,2382,"INTERLOMAS",,,,"HUIXQUILUCAN ","EDO MEX",,"01 (55)","5290 7007 / 7008 / 7009 / 7010 / 1132 / 6589",,"Ext. 105",,,,
