2,1045,"Domingo Diez",,,,Cuernavaca,Morelos,,"01 (777)","372-3315 / 3316 / 3320",,Ext.103,,,,
2,2090,Angelópolis,,,,"San Andres Cholula",Puebla,,"01 (222)","225 0282 / 225 0516 / 225 0825 / 225 0839 / 225 1836","225 2436 / 225 3044","Ext. 105",,,,
2,2731,"El Molinito",,,,"Apetatitlan De Antonio Carvajal",Tlaxcala,,"01 (246)","4687525 / 4687526 / 4687527 / 4687528 / 4687529 / 4687530",,,,,,
2,2732,"Hospital General",,,,Puebla,Puebla,,"01 (222)","3953447  / 3953448 / 3953506 / 3953485/ 3953519 / 3953376",,,,,,
2,3588,Paraiso,,,,Temixco,Morelos,,"01 (777)","326-9292/ 325-4212/ 325-4319/ 325-4782/ 325-6025/ 325-6304",,,,,,
2,3853,"San Manuel",,,,Puebla,Puebla,,"01 (222)","244 9433 / 244 9696 / 244 9711 / 245 1700","245 1799","Ext. 105",,,,
2,3864,Reforma,,,,Puebla,Puebla,,"01 (222)","248 4711 / 248 4866 / 248 5086 / 248 5300",,"Ext. 102/104",,,,
2,3886,"Las Animas",,,,Puebla,Puebla,,"01 (222)","231 8694 / 231 8696 / 231 8697/ 248 0223 / 248 0090","248 9788","Ext. 105",,,,
2,3929,"Salina Cruz Ii",,,,"Salina Cruz",Oaxaca,,"01 (971)","7161 774 Al 782",,,,,,
2,4090,"Los Atrios Cuautla",,,,Cuautla,Morelos,,"01 (735)","1 22 23 29 Al 38",,"Ext. 102",,,,
2,5727,Jiutepec,,,,Jiutepec,Morelos,,"01 (777)","3 09 17 23 / 1880 / 2024 Al 30",,"Ext. 105",,,,
2,1108,Altozano,,,,Morelia,Michoacan,,"01 (443)","340 54 65/ 340-44-83/84/85/86/87",01-(443)-340-54-65,,,,,
2,2050,Uruapan,,,,Uruapan,Michoacan,,"01 (452)","119 14 09 Al 20","11 91  408",1191408,,,,
2,2343,Toluca,,,,Toluca,"Edo Mex",,"01 (722)","219 91 00  / 01 / 02 / 05  / 06 / 07",,,,,,
2,2381,Morelia,,,,Morelia,Michoacan,,"01 (443)","327 4800 Al 10","Ext. 170 Y 171","Ext. 202",,,,
2,2734,"Plaza Ana",,,,Zamora,Michoacan,,01(351),"515-1302 / 03 / 37 / 42 / 47 / 88","122 56 13","Ext. 102",,,,
2,3198,"La Piedad",,,,"Cerro Grande",Michoacan,,01(352),"525-6266 /  525-6267 / 525-6268 / 525-6269 / 525-6270",525-6271,,,,,
2,3355,"Estadio Morelia",,,,Morelia,Michoacan,,"01 (443)","176 15 31 Al 36",1761535,"Ext. 102",,,,
2,3554,"Mil Cumbres",,,,Morelia,Michoacan,,"01 (443)","334 73 32","(01443) 333 22 89",105,,,,
2,3790,Metepec,,,,Toluca,"Edo Mex",,"01 (722)","212 38 48 / 50 / 51 / 55",,"Ext. 102 / 103",,,,
2,5702,Santin,,,,Toluca,"Edo Mex",,"01 (722)","2104044 / 2104046",,,,,,
2,5791,Zinacantepec,,,,Toluca,"Edo Mex",,"01 (722)","278 5158 / 0896 / 5104",,"Ext. 149  / 150",,,,
2,5825,"Alfredo Del Mazo",,,,Toluca,"Edo Mex",,"01 (722)","237 1939 / 2113 / 1407",,"Ext. 103",,,,
2,1022,"López Mateos",,,,Guadalajara,Jalisco,,"01 (33)","3612 7111 / 6799 / 6922",,"Ext 102 Y 103",,,,
2,1119,Colón,,,,Guadalajara,Jalisco,,"01 (33)","3687 1860   /  3687 1847  Al 55",,"Ext. 105",,,,
2,1403,Chapala,,,,Chapala,Jalisco,,"01 (376)","766 3280 / 3285/ 3426/ 3716/ 3858/ 4056",,,,,,
2,1686,"La Cima",,,,Zapopan,Jalisco,,"01 (33)","38 34 15 58 / 38 34 14 11 / 38 34 13 69",,,,,,
2,2342,Vallarta,,,,Guadalajara,Jalisco,,"01 (33)","3673 2323 / 3673 2707 / 3673 2326 / 3673 2451",,"Ext. 102 Y 103",,,,
2,3113,Nilo,,,,Guadalajara,Jalisco,,"01 (33)","3680 5489 / 6263 / 9084 / 9372",,"Ext. 105",,,,
2,3631,Tonalá,,,,Guadalajara,Jalisco,,"01 (33)","3602 7120 Al 25","3602 7131",,,,,
2,3721,"ávila Camacho",,,,Guadalajara,Jalisco,,"01 (33)","31 11 00 54 / 55 / 56 / 57 / 58 / 59 / 60 / 61","31 11 00 62","31 11 00 64 Fax",,,,
2,3856,"Plaza México",,,,Guadalajara,Jalisco,,"01 (33)","3813- 1336 /  3813 1032   /   3813 2966","3813 24 74 / 3813 2966 / 3813 1336 / 3813 1678",,,,,
2,3861,Revolución,,,,Guadalajara,Jalisco,,"01 (33)","3635 4240 /  2725/  9799 / 36356217 / 38384370","3639 0672",,,,,
2,3878,"Niño Obrero",,,,Guadalajara,Jalisco,,"01 (33)","31-21-08-24  Y   31-21-04-19",,,,,,
2,3928,"Guadalajara Parques",,,,Zapopan,Jalisco,,"01 (33)","16-57-14-54 Y 16-57-14-57",,"Ext. 102 Y 103",,,,
2,4012,"Jardines Del Sol",,,,Guadalajara,Jalisco,,"01 (33)","3632 2579 / 40 / 2658/",,,,,,
2,4071,Patria,,,,Zapopan,Jalisco,,"01 (33)","3610-1902 / 1416 / 1570 / 1894 / 1448 / 1355",,"Ext:102 Y 103",,,,
2,4540,"16 De Septiembre",,,,Guadalajara,Jalisco,,"01 (33)","3658  3381 / 82  / 86 / 88",,,,,,
2,1140,"Plaza San Pedro",,,,Mexicali,"Baja California",,"01 (686)","564 5459 / 564 5396 / 564 5382",Ext.102,Ext.105,,,,
2,2023,"Macro Plaza Insurgentes",,,,Tijuana,"Baja California",,"01 (664)","625   0067 / 0069 / 0130/ 0146/ 0160 / 0165 / 0172 / 0174 / 0178 / 0230",,"Fax 01(664) 625 0253",,,,
2,2042,"Nogales el Greco",,,,Nogales,Sonora,,"01 (631)","3147 940/ 314 6522/ 3147 125/ 3148 018/ 3149 013",,"3193 056",,,,
2,2304,Mexicali,,,,Mexicali,"Baja California",,"01 (686)","561 3611  /  561 8501  / 561 9638",,"Ext. 103",,,,
2,2947,"Ensenada Centro",,,,Ensenada,"Baja California",,"01 (646)","646 176 50 62",,,,,,
2,3015,Ensenada,,,,Ensenada,"Baja California",,"01 (646)","173 3079/ 3076/ 3080/ 3092 / 3064/ 3068/ 3072/ 3069/ 3065/ 3059","646 173 3098","Fax. Ext. 105",,,,
2,3664,"Diaz Ordaz",,,,Tijuana,"Baja California",,"01 (664)","9027085/ 9027464",,"102 Y 103",,,,
2,4011,"Tijuana Hipodromo",,,,Tijuana,"Baja California",,01(664),"6816150 / 6815682 / 6815400 / 6814718 / 6814668 / 6814493",,"102 Y 103",,,,
2,4026,"Galerías Del Valle",,,,Mexicali,"Baja California",,"01 (686)","568 05 79 / 568 03 36 / 568 05 46 / 568 02 64 / 568 04 97 / 555 96 37 / 555 96 71 / 568 00 62 / 568 02 59 / 555 85 97",,,,,,
2,4155,"Tijuana 2000",,,,Tijuana,"Baja California",,"01 (664)","2118659-60 / 2118638/2118570/211633/2118555",,,,,,
2,4187,"Playas De Rosarito",,,,Rosarito,"Baja California",,"01 (661)","613 92 44 Al 54",,,,,,
2,1489,"Hiperplaza Texcoco",,,,Texcoco,"Edo. De Mex.",,"01 (595)","9251524 / 1611/ 1686/ 1749/ 1757/ 1762/ 1768/ 1817/ 1932/ 1972",,,,,,
2,1724,"Los Reyes",,,,Zumpango,"Edo. De Mex.",,"01 (591)","9185 485 / 5193 / 5222 / 5234 / 5296 / 5374","Ext. 103, 105 Y 102",,,,,
2,2219,Jorobas,,,,Huehuetoca,"Edo. De Mex.",,"01 (593)","911 11 61 / 1163 / 1174 / 22 92 / 0258",,,,,,
2,3061,"Combo Pachuca",,,,Pachuca,Hidalgo,,"01 (77)","1719 7558 / 6551/ 6648 / 6750 / 6931/ 6944",,"Ext. 105",,,,
2,3356,"Lazaro Cardenas",,,,"Lazaro Cardenas",Michoacan,,"01 (753)",01(753)54-142-83,,"Ext. 105, 103 Y 102",,,,
2,3503,"Ecatepec Centro",,,,"Ecatepec De Morelos","Edo. De Mex.",,"01 (55)",15-50-50-24/15-50-41-16,,,,,,
2,3900,Coacalco,,,,Coacalco,"Edo. De Mex.",,"01 (55)","5898 5268 / 0637 / 0468 / 0463",,,,,,
2,4018,"Santa María Coacalco",,,,Coacalco,"Edo. De Mex.",,"01 (55)","2644 1834 / 2644 1871,73 / 1039 8231 / 1039 8632",,"Ext. 102",,,,
2,4109,"Puerta Texcoco",,,,Texcoco,"Edo. De Mex.",,"01 (595)","921 1944/ 0647 / 0668 / 0933 / 1275 / 1500 / 1506 / 1567 / 1573 / 1587",,,,,,
2,1107,Ixtapaluca,,,,Ixtapaluca,"Edo. De Mex.",,"01 (55)","59 72 74 43 / 26 06 6410 / 6434 / 6809",,"26 06 95 51",,,,
2,1171,"San José Tecamac",,,,Tecamac,"Edo. De Mex.",,"01 (55)","5936 0265 / 4429  /  1383 9725 Al 27",,"Ext 105",,,,
2,1202,Horizonte,,,,"Valle De Chalco","Edo. De Mex.",,01(55),16433246/1677/1683/2067/3430/3449,,Ext.102,,,,
2,1683,"Vicente Guerrero",,,,Chalco,"Edo. De Mex.",,"01 (55)","5982-8595 / 8598 / 8603 / 8607 / 8668",,"Ext 105",,,,
2,2840,"Insurgentes Chetumal",,,,Chetumal,"Quintana Roo",,"01 (983)","11 85 175 / 76",,,,,,
2,3016,"Macro Plaza Heroes Tecamac",,,,Tecamac,"Edo. De Mex.",,"01 (55)","1738 6520 / 4518 / 4532 / 4563 / 4804",,"Ext. 105",,,,
2,4546,Zacatecas,,,,Zacatecas,Zacatecas,,"01 (492)","925 1054/ 925 1056",,"Ext. 102 Y 103",,,,
2,5765,"Las Americas",,,,"Ecatepec De Morelos","Edo. De Mex.",,"01 (55)","2486 4046 Al 52","24 86 40 56","Ext. 105",,,,
2,1054,"Colima Norte",,,,Colima,Colima,,"01 (312)","323 5319 Al 22/ 323 5324 Al 26",,"Ext 105",,,,
2,2345,Tepeyac,,,,Mexico,D.f.,,"01 (55)","5517 0398 / 0336 / 0257/ 3067",Ext.102,,,,,
2,3506,"Simbolos Patrios",,,,Oaxaca,Oaxaca,,"01 (951)","1449101 / 1449104 / 1449105 / 1449106",,"Ext. 105 / 103",,,,
2,3846,Buenavista,,,,Mexico,D.f.,,"01 (55)","5566 3711 / 3037","5546 0747","5566 7440",,,,
2,3877,"Torres  Lindavista",,,,Mexico,D.f.,,"01 (55)","5752 7060 / 5752 7255 / 5752 7489",,"Ext 103",,,,
2,3879,"Colima Niños Héroes",,,,Colima,Colima,,"01 (312)","31 3 11 77/ 31 3 11 55","313 1150","Ext. 102 Y 103",,,,
2,4062,Manzanillo,,,,Manzanillo,Colima,,"01 (314)","333 3844/ 334 3550/ 334 3551/ 334 3584/ 334 3603/ 334 3614/ 334 3618/ 334 3623/ 334 3683/ 334 3703",,,,,,
2,4547,"Eduardo Molina",,,,Mexico,D.f.,,"01 (55)","5750 5328 Al 35",,"Ext . 105",,,,
2,1015,Irapuato,,,,Irapuato,Guanajuato,,"01 (462)","635 2067  Al 74","01(462) 635 20 78","635 2075 Fax Ext 105",,,,
2,1195,"Galerias Las Torres",,,,Leon,Guanajuato,,"01 (477)","77653 00/05/64     776 55 20 /    776 62 05  / 776 66 91","776 72 59  /776 73 96","776 78 22",,,,
2,2091,"El Sauz",,,,Celaya,Guanajuato,,"01 (461)","1577206 / 6176168/ 230/ 276/ 296/ 461","467/ 594","Ext. 102 - 106",,,,
2,2356,Queretaro,,,,Queretaro,Queretaro,,"01 (442)","210 1860 / 68","2 10 18 71","171, 173, 188 Y 126",,,,
2,2433,"Torres Landa",,,,Leon,Guanajuato,,"01 (477)","761 82 74 Al 83",,"761 8284",,,,
